City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Nantucket,US,41.2835,-70.0995,17.08,39,0,3.09,clear sky
Kalevala,RU,65.2,31.1667,3.46,86,98,0.71,overcast clouds
Minas,UY,-34.3759,-55.2377,18.28,38,0,5.4,clear sky
Umm Kaddadah,SD,13.6017,26.6876,36.96,8,6,6.62,clear sky
Birin,NP,26.8865,88.0718,18.53,71,86,2.23,overcast clouds
Zholymbet,KZ,51.7433,71.7122,10.59,48,100,4.7,overcast clouds
Nerang,AU,-27.9833,153.3333,17.77,94,99,0.45,light rain
Ormara,PK,25.2088,64.6357,27.06,75,0,4.23,clear sky
Saint-Georges,GD,12.0564,-61.7485,29.82,66,40,10.29,scattered clouds
Blythe,US,33.6103,-114.5964,10.25,13,0,0,clear sky
Sakakah,SA,29.9697,40.2064,29.76,15,21,1.14,few clouds
Tahoua,NE,14.8888,5.2692,39.99,21,0,2.57,clear sky
Lasa,IT,46.6166,10.7002,17.61,70,99,1.43,overcast clouds
Umba,RU,66.6871,34.3429,1.01,84,93,0.65,overcast clouds
Moyale,KE,3.5167,39.0584,25.22,60,14,4.17,few clouds
Cabedelo,BR,-6.9811,-34.8339,30.37,63,87,3.36,overcast clouds
Novyy Urgal,RU,51.0736,132.5642,-6.58,94,86,1.99,overcast clouds
Talaya,RU,61.3833,152.75,-18.15,99,100,1.59,overcast clouds
Grand Island,US,40.925,-98.342,-1.12,44,0,7.72,clear sky
Uddevalla,SE,58.3478,11.9424,11.29,62,100,1.34,overcast clouds
Bonavista,CA,48.6499,-53.1147,-0.06,93,100,11.09,overcast clouds
Boende,CD,-0.2167,20.8667,27.06,71,55,1.44,light rain
Iquitos,PE,-3.7481,-73.2472,26.02,94,100,1.03,overcast clouds
Rybnaya Sloboda,RU,55.4613,50.1409,5.37,96,79,2.33,broken clouds
Namibe,AO,-15.1961,12.1522,25.9,75,3,4.94,clear sky
Sinop,TR,41.7711,34.8709,5.19,67,99,3.97,light rain
Lexington,US,37.9887,-84.4777,19.63,79,100,5.66,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-26.99,100,89,1.63,overcast clouds
Eltham,NZ,-39.4292,174.3,12.6,69,100,4.6,overcast clouds
Hasaki,JP,35.7333,140.8333,18.22,92,47,9.43,scattered clouds
Miles City,US,46.4083,-105.8406,-8.46,86,100,10.29,mist
Klaksvik,FO,62.2266,-6.589,7.51,87,99,7.46,overcast clouds
Mondovi,IT,44.396,7.8176,19.73,54,100,2.41,overcast clouds
Kloulklubed,PW,7.0419,134.2556,27.28,79,100,8.36,overcast clouds
Campo Formoso,BR,-10.5075,-40.3214,31.89,39,11,2.88,few clouds
Fare,PF,-16.7,-151.0167,27.68,71,0,6.8,clear sky
Coquimbo,CL,-29.9533,-71.3436,12.85,94,100,1.54,overcast clouds
Nemuro,JP,43.3236,145.575,0.02,81,100,7.84,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,15.5,80,54,2.94,broken clouds
Dunedin,NZ,-45.8742,170.5036,9.89,80,0,1.79,clear sky
Lakewood,US,39.7047,-105.0814,0.46,55,81,0.45,broken clouds
Pietarsaari,FI,63.65,22.6833,7.07,84,100,2.38,overcast clouds
Chimbote,PE,-9.0853,-78.5783,20.76,78,43,3.9,scattered clouds
Vostok,RU,46.4856,135.8833,-5.64,95,33,1.85,scattered clouds
Kashirskoye,RU,51.4194,39.6125,13.72,71,100,4.06,overcast clouds
South Lake Tahoe,US,38.9332,-119.9844,-1.06,56,100,5.14,overcast clouds
Trinidad,BO,-14.8333,-64.9,30.99,66,20,6.69,few clouds
Saint Anthony,US,45.0205,-93.218,8.32,93,100,6.17,mist
Maceio,BR,-9.6658,-35.7353,30.69,66,75,3.6,broken clouds
Oksfjord,NO,70.2396,22.3479,3.1,83,100,1.44,overcast clouds
Bac Lieu,VN,9.285,105.7244,28.09,76,54,5.06,broken clouds
Nagornyy,RU,52.7959,83.5498,6.75,63,11,5.39,few clouds
Mehamn,NO,71.0357,27.8492,-0.05,76,87,1.64,overcast clouds
Urengoy,RU,65.9667,78.3667,1.03,100,100,4.14,overcast clouds
Aripuana,BR,-9.1667,-60.6333,31.03,62,85,0.74,overcast clouds
Beringovskiy,RU,63.05,179.3167,-4.56,96,100,6.98,snow
Havelock,US,34.8791,-76.9013,23.88,78,20,6.69,few clouds
Awbari,LY,26.5921,12.7805,38.61,4,32,8.5,scattered clouds
Catamarca,AR,-28.4696,-65.7852,18.66,86,95,1.79,overcast clouds
Vesoul,FR,47.5833,5.8333,21.45,56,64,1.07,broken clouds
Biak,ID,-0.9131,122.8766,25.84,80,100,0.84,overcast clouds
Muros,ES,42.7762,-9.0603,19.27,81,15,5.04,few clouds
Padang,ID,-0.9492,100.3543,26.68,85,100,0.53,light rain
Maputo,MZ,-25.9653,32.5892,32.82,46,20,3.6,few clouds
Krasnoselkup,RU,65.7,82.4667,0.98,98,100,6.83,overcast clouds
Araouane,ML,18.9048,-3.5265,40.26,4,48,4.78,scattered clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,18.86,93,75,6.17,broken clouds
Poum,NC,-20.2333,164.0167,24.85,70,0,4.1,clear sky
Kamaishi,JP,39.2667,141.8833,8.19,92,100,5.2,overcast clouds
Mandera,KE,3.9366,41.867,33.88,38,94,5.66,overcast clouds
Owando,CG,-0.4819,15.8999,27.76,72,100,3.14,light rain
Yinchuan,CN,38.4681,106.2731,10.65,21,100,3.58,overcast clouds
Diveyevo,RU,55.0433,43.2418,11.54,78,54,3.72,broken clouds
Pocone,BR,-16.2567,-56.6228,31.07,58,40,2.13,scattered clouds
Lander,US,42.833,-108.7307,-9.94,80,75,2.06,broken clouds
Homer,US,59.6425,-151.5483,1.56,82,0,0.89,clear sky
Kamenka,RU,51.3223,42.7678,10.78,91,100,5.33,light rain
Zhangjiakou,CN,40.81,114.8794,8.75,21,0,4.77,clear sky
Mapiripan,CO,2.8892,-72.1256,31,61,90,2.24,overcast clouds
La Libertad,EC,-2.2333,-80.9,22.81,83,40,2.06,scattered clouds
Daru,PG,-9.0763,143.2092,26.75,89,100,4.26,overcast clouds
Ornskoldsvik,SE,63.2909,18.7153,5.53,65,100,3.6,overcast clouds
Najran,SA,17.4924,44.1277,35.36,12,69,8.64,broken clouds
Kozhva,RU,65.1073,57.0459,1.59,100,100,1.52,overcast clouds
Betioky,MG,-23.7167,44.3833,27.3,47,84,4.46,broken clouds
Salalah,OM,17.0151,54.0924,29.05,79,0,4.12,clear sky
Smolenka,RU,52.1352,113.4974,-2.96,68,5,1,clear sky
Soyo,AO,-6.1349,12.3689,28.58,70,100,2.01,light rain
Pimentel,PE,-6.8367,-79.9342,21.16,73,0,5.66,clear sky
Kaoma,ZM,-14.7833,24.8,25.63,64,34,2.16,scattered clouds
Vestmanna,FO,62.1564,-7.1664,6.51,93,100,5.14,overcast clouds
Huarmey,PE,-10.0681,-78.1522,21.38,76,10,4.54,clear sky
Ada,US,43.4166,-116.1262,-0.84,84,0,2.57,clear sky
Okhotsk,RU,59.3833,143.3,-12.56,84,35,4.16,scattered clouds
Salekhard,RU,66.53,66.6019,0.78,100,100,0.89,overcast clouds
Riyadh,SA,24.6877,46.7219,37.08,11,76,2.29,broken clouds
Burnie,AU,-41.0667,145.9167,11.62,82,19,2.26,few clouds
Londoko,RU,49.0333,131.9833,-4.29,90,9,1.14,clear sky
Slonim,BY,53.0867,25.3219,11.78,44,8,3.73,clear sky
Hualmay,PE,-11.0964,-77.6139,20.96,74,41,3.98,scattered clouds
Hurghada,EG,27.2574,33.8129,25.02,29,0,10.29,clear sky
Nakonde,ZM,-9.3421,32.745,19.6,89,67,0.97,light rain
Traverse City,US,44.7631,-85.6206,19.04,80,100,4.12,overcast clouds
Muli,MV,2.9167,73.5667,29.07,75,100,6.14,overcast clouds
Kodinsk,RU,58.6881,99.1844,0.33,78,100,3.92,overcast clouds
Sorong,ID,-0.8833,131.25,26.91,82,100,1.65,overcast clouds
Welkom,ZA,-27.9864,26.7066,22.42,33,60,3.28,broken clouds
Chancay,PE,-11.5714,-77.2672,20.48,75,61,2.94,broken clouds
Nyurba,RU,63.2842,118.3319,-2.31,89,100,4.2,overcast clouds
Tual,ID,-5.6667,132.75,28.37,78,94,3.16,overcast clouds
Calamar,CO,10.2511,-74.9146,34.66,41,71,4.24,broken clouds
Sivas,TR,39.7916,37.0019,0.35,55,40,5.66,scattered clouds
Olafsvik,IS,64.8945,-23.7142,5.7,71,100,3.18,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,-4.55,96,100,2.88,overcast clouds
Ahipara,NZ,-35.1667,173.1667,16.75,77,76,5.61,broken clouds
Tanout,NE,14.9709,8.8879,39.71,9,25,1.99,scattered clouds
Yablonovo,RU,50.8523,37.3574,13.22,67,99,7.09,overcast clouds
Mitsamiouli,KM,-11.3847,43.2844,28.21,72,60,2.86,broken clouds
Donaueschingen,DE,47.95,8.5,22.95,41,72,3.22,broken clouds
Kizilskoye,RU,52.7255,58.8937,10.28,87,95,2.28,overcast clouds
Te Anau,NZ,-45.4167,167.7167,5.5,90,30,0.59,scattered clouds
Praia Da Vitoria,PT,38.7333,-27.0667,18.14,94,75,15.14,broken clouds
Rioja,AR,-29.4111,-66.8507,20.81,64,50,2.29,scattered clouds
Bakchar,RU,57.0186,82.0711,0.55,95,43,2.5,scattered clouds
Kangaatsiaq,GL,68.3065,-53.4641,-12.15,87,100,5.4,overcast clouds
Quelimane,MZ,-17.8786,36.8883,30.97,70,20,4.12,few clouds
Utraula,IN,27.3167,82.4167,34.16,16,3,2.98,clear sky
Horni Slavkov,CZ,50.1386,12.8076,19.23,40,0,4.12,clear sky
Ledyard,US,41.4398,-72.0142,17.27,31,0,1.54,clear sky
Altay,CN,47.8667,88.1167,5.58,42,11,4.78,few clouds
Atlantic City,US,39.3643,-74.4229,22.88,76,40,2.57,scattered clouds
Trelew,AR,-43.249,-65.3051,16.18,40,10,3.79,clear sky
Mogocha,RU,53.7333,119.7667,-8.44,95,36,1.31,scattered clouds
George,ZA,-33.963,22.4617,18.75,82,75,4.12,broken clouds
Shestakovo,RU,56.4915,103.96,-4.04,94,26,1.06,scattered clouds
Beipiao,CN,41.7919,120.7792,8.72,23,1,0.95,clear sky
Hami,CN,42.8,93.45,14.74,8,100,3.79,overcast clouds
Sulangan,PH,11.1373,123.7228,27.04,78,100,3.04,overcast clouds
Mobai,SL,7.9944,-10.7511,33.5,45,86,1.68,overcast clouds
Orel-Izumrud,RU,43.4583,39.9244,7.01,81,100,3,overcast clouds
Saint-Denis,FR,48.9167,2.3333,17.34,74,75,1.54,broken clouds
Samarai,PG,-10.6167,150.6667,28.46,76,20,5.46,few clouds
Ussel,FR,45.55,2.3167,17.62,47,98,0.79,overcast clouds
Lleida,ES,41.6167,0.6167,15.11,98,75,3.09,broken clouds
Aksu,CN,41.1231,80.2644,21.38,20,100,3.81,overcast clouds
Pescara,IT,42.3333,13.95,17.27,62,100,2.43,overcast clouds
Da Nang,VN,16.0678,108.2208,25.99,89,75,1.03,broken clouds
Buenos Aires,AR,-34.6132,-58.3772,17.22,53,0,2.06,clear sky
Laramie,US,41.3114,-105.5911,-3.91,80,93,12.13,overcast clouds
Launceston,AU,-41.45,147.1667,10.34,90,5,1.03,clear sky
Guanica,PR,17.9716,-66.908,30.63,56,6,8.73,clear sky
Vasteras,SE,59.6162,16.5528,8.95,43,0,6.17,clear sky
Taltal,CL,-25.4,-70.4833,18.77,68,0,2.4,clear sky
Vila,PT,42.0304,-8.1588,13.72,70,91,2.05,overcast clouds
Lompoc,US,34.6391,-120.4579,8.66,65,0,8.94,clear sky
Ossora,RU,59.2353,163.0719,-6.49,95,100,3.46,light snow
Jalu,LY,29.0331,21.5482,27.41,13,2,6.3,clear sky
Kapuskasing,CA,49.4169,-82.4331,3.05,56,75,6.17,broken clouds
Upington,ZA,-28.4478,21.2561,29.21,24,20,2.57,few clouds
Vestmannaeyjar,IS,63.4427,-20.2734,7.55,81,40,14.4,scattered clouds
Zhanaozen,KZ,43.3,52.8,18.62,36,0,7,clear sky
Vila Velha,BR,-20.3297,-40.2925,32.97,64,20,4.12,few clouds
Touros,BR,-5.1989,-35.4608,30.87,56,11,4.19,few clouds
Batie,BF,9.8833,-2.9167,40.01,21,59,0.36,broken clouds
Naples,IT,40.8333,14.25,23.1,53,0,3.6,clear sky
Agadez,NE,19.75,10.25,40.13,5,14,6.44,few clouds
Halifax,CA,44.6453,-63.5724,12.51,57,20,6.71,few clouds
Novoagansk,RU,61.9449,76.6625,1.33,99,96,3.02,overcast clouds
Porto Murtinho,BR,-21.6989,-57.8825,23.69,92,99,2.61,overcast clouds
Peterhead,GB,57.5058,-1.7981,8.22,89,100,9.46,overcast clouds
Balkanabat,TM,39.5108,54.3671,21.78,41,1,3.89,clear sky
Wasilla,US,61.5814,-149.4394,-0.91,68,0,1.54,clear sky
Nizhniy Tsasuchey,RU,50.5167,115.1333,0.5,52,42,1.48,scattered clouds
Majene,ID,-3.5403,118.9707,25.67,86,86,0.77,overcast clouds
Naze,JP,28.3667,129.4833,19.51,91,17,4.43,few clouds
Alice Springs,AU,-23.7,133.8833,20.75,32,0,0,clear sky
Calama,CL,-22.4667,-68.9333,14.27,11,0,7.2,clear sky
Baoding,CN,38.8511,115.4903,10.59,39,58,2.14,broken clouds
Port Huron,US,42.9709,-82.4249,19.37,77,100,7.2,overcast clouds
Isabela,PH,6.7085,121.9711,26.41,86,55,3.23,broken clouds
Mtwara,TZ,-10.2667,40.1833,26.66,84,100,4.27,overcast clouds
Hokota,JP,36.15,140.5167,17.22,88,75,8.23,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,26.16,83,68,9.27,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,31.05,75,31,4.07,scattered clouds
Nyakahanga,TZ,-1.6033,31.1414,21.88,67,95,1.56,overcast clouds
Canavieiras,BR,-15.675,-38.9472,29.15,63,43,3.04,scattered clouds
Uglegorsk,RU,49.0833,142.0333,-1.73,87,32,1.34,scattered clouds
Bagan,RU,54.1001,77.6646,8.18,67,0,5.66,clear sky
Huoqiu,CN,32.3394,116.2694,9.82,67,9,2.2,clear sky
Gladstone,AU,-23.85,151.25,22.96,73,100,2.06,overcast clouds
Caucaia,BR,-3.7361,-38.6531,30.97,71,40,4.12,scattered clouds
Salinopolis,BR,-0.6136,-47.3561,27.24,81,100,3.77,light rain
Vao,NC,-22.6667,167.4833,24.07,68,6,0.7,clear sky
Pasni,PK,25.2631,63.471,26.9,76,0,3.39,clear sky
Ust-Tsilma,RU,65.441,52.1498,1.11,99,100,3.03,overcast clouds
Crotone,IT,39.0851,17.1178,16.97,67,0,3.09,clear sky
Bambous Virieux,MU,-20.3428,57.7575,26.23,94,75,8.75,light rain
Stromness,GB,58.965,-3.296,6.98,86,100,5.36,overcast clouds
Silver City,US,32.7701,-108.2803,4.98,18,0,4.02,clear sky
Hovd,MN,48.0056,91.6419,-3.94,50,100,4.07,overcast clouds
Changping,CN,40.2186,116.2197,12.8,25,14,1.45,few clouds
Umm Bab,QA,25.2142,50.8072,33.06,23,100,6.62,overcast clouds
Kuala Pilah,MY,2.7389,102.2487,24.55,90,100,1.24,overcast clouds
Arman,RU,59.7,150.1667,-10.31,76,100,3.37,overcast clouds
Kasempa,ZM,-13.4584,25.8338,23.33,74,50,1.71,scattered clouds
Farah,AF,32.5,62.5,26.23,8,0,3.47,clear sky
Troitskoye,RU,52.9821,84.6757,4.19,66,19,5.02,few clouds
Husavik,IS,66.0449,-17.3389,3.67,80,34,3.97,scattered clouds
Glubczyce,PL,50.2009,17.8286,19.34,48,7,3.38,clear sky
Mackay,AU,-21.15,149.2,24.99,73,99,7.72,overcast clouds
Ukiah,US,39.1502,-123.2078,5.94,89,100,1.54,overcast clouds
Kathu,TH,7.9178,98.3332,31.5,75,91,4.6,overcast clouds
Svetlogorsk,BY,52.6333,29.7333,6.11,68,100,5.01,overcast clouds
Suba,PH,10.8438,121.0102,27.35,80,100,4.38,overcast clouds
Gamba,GA,-2.65,10,28.54,71,85,4.24,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,-18,78,75,3.6,light snow
Port Hawkesbury,CA,45.6169,-61.3485,5.51,92,100,5.14,overcast clouds
Kaeo,NZ,-35.1,173.7833,15.74,90,35,3.8,scattered clouds
Chicama,PE,-7.8447,-79.1469,17.3,74,65,3.49,broken clouds
Mecca,SA,21.4267,39.8261,33.58,27,1,4.05,clear sky
Unguia,CO,8.0434,-77.0945,25.01,81,100,2.28,overcast clouds
Coolum Beach,AU,-26.5333,153.1,18.95,98,100,5.77,light rain
Maniitsoq,GL,65.4167,-52.9,-3.01,77,30,6.08,scattered clouds
Tselinnoye,RU,53.0833,85.6667,3.54,68,32,4.88,scattered clouds
Kadoma,JP,34.7333,135.5833,19.54,65,100,4.63,overcast clouds
Dawson Creek,CA,55.7666,-120.2362,-10.2,67,100,3.09,overcast clouds
Kentau,KZ,43.5206,68.5094,20.11,40,1,1.98,clear sky
Cassilandia,BR,-19.1133,-51.7342,31.66,44,11,2.27,few clouds
Saint-Pierre,RE,-21.3393,55.4781,24.82,90,75,8.23,broken clouds
Mamlyutka,KZ,54.9375,68.5394,11.65,40,91,6.41,overcast clouds
Puerto Ayacucho,VE,5.6639,-67.6236,32.18,49,96,1.4,overcast clouds
Acapulco,MX,16.8634,-99.8901,25.9,83,40,1.54,scattered clouds
Huhi,MX,20.7167,-89.1667,29.1,61,98,5.01,overcast clouds
Masallatah,LY,32.6167,14,22.46,40,100,11.62,overcast clouds
Colesberg,ZA,-30.72,25.0972,22.18,35,0,4.06,clear sky
Mackenzie,CA,55.2999,-123.1698,-9.88,48,0,1.03,clear sky
The Valley,AI,18.217,-63.0578,27.92,61,20,8.23,few clouds
Xingyi,CN,24.1877,102.817,17.25,50,3,1.96,clear sky
Klichka,RU,50.4457,117.996,-1.9,58,11,1.73,few clouds
Soubre,CI,5.7856,-6.6083,34.55,43,85,0.79,overcast clouds
Haines Junction,CA,60.7522,-137.5108,-20.03,84,12,0.51,few clouds
Camocim,BR,-2.9022,-40.8411,29.4,68,62,3.66,broken clouds
Udachnyy,RU,66.4167,112.4,-4.75,85,100,2.27,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,25.54,82,8,1.72,clear sky
Itamarandiba,BR,-17.8572,-42.8589,29.61,48,36,1.24,scattered clouds
Olinda,BR,-8.0089,-34.8553,30.85,58,40,3.6,scattered clouds
Cururupu,BR,-1.8283,-44.8683,29.91,68,80,2.73,broken clouds
Navoi,UZ,40.0844,65.3792,24.71,31,0,3.09,clear sky
Joshimath,IN,30.5667,79.5667,15.05,68,94,1.96,overcast clouds
Panzhihua,CN,26.5851,101.7128,23.25,45,81,1.8,broken clouds
Zhigansk,RU,66.7697,123.3711,-9.81,94,100,7.34,light snow
Miquelon,PM,47.0975,-56.3814,3,85,100,7.08,overcast clouds
Sheridan,US,44.8333,-106.9173,-11.16,74,75,9.77,broken clouds
Lacombe,CA,52.4668,-113.7353,-9.7,62,100,5.2,overcast clouds
Belmonte,BR,-15.8631,-38.8828,28.64,67,32,3.07,scattered clouds
Eureka,US,40.8021,-124.1637,7.18,69,100,1.34,overcast clouds
Rosario Oeste,BR,-14.8361,-56.4275,31.94,59,21,1.42,few clouds
Vardo,NO,70.3705,31.1107,-2.01,74,20,5.14,few clouds
Bharuch,IN,21.7,72.9667,31.35,35,0,5.07,clear sky
Teguise,ES,29.0605,-13.564,19.12,64,75,8.75,light intensity drizzle
Coahuayana,MX,18.7333,-103.6833,28.14,44,100,0.6,overcast clouds
Varzea Da Palma,BR,-17.5981,-44.7308,32.83,43,39,1.66,scattered clouds
Camopi,GF,3.1655,-52.3158,28.67,71,66,2.65,broken clouds
Sisimiut,GL,66.9395,-53.6735,-4.55,74,53,5.97,broken clouds
Mokhsogollokh,RU,61.4681,128.9203,-10.88,97,100,1.15,overcast clouds
Santiago Del Estero,AR,-27.7951,-64.2615,15.64,80,100,1.35,overcast clouds
Saverne,FR,48.8333,7.25,24.07,61,86,2.27,overcast clouds
Mahibadhoo,MV,3.7833,72.9667,29.77,72,100,6.94,overcast clouds
Sousa,BR,-6.7592,-38.2281,31.65,48,100,2.11,overcast clouds
Katherine,AU,-14.4667,132.2667,27.18,69,100,1.03,overcast clouds
Pajapan,MX,18.25,-94.7,24.09,49,93,5.43,overcast clouds
Palu,ID,-0.8917,119.8707,24.65,92,97,1.04,overcast clouds
Verkhnetulomskiy,RU,68.6073,31.7962,1.07,82,91,0.94,overcast clouds
Shumskiy,RU,54.8318,99.1328,-2.48,86,26,1.53,scattered clouds
Butka,RU,56.7179,63.7866,6.42,88,100,1.8,light rain
Luhyny,UA,51.082,28.4006,6.38,64,100,6.14,overcast clouds
Talmenka,RU,53.8183,83.5677,6.88,86,30,3.8,scattered clouds
Auki,SB,-8.7676,160.7034,24.61,85,9,1.56,clear sky
Sao Desiderio,BR,-12.3633,-44.9733,34.57,36,17,0.92,few clouds
Turbat,PK,26.0023,63.044,33.43,25,0,2.66,clear sky
Broken Hill,AU,-31.95,141.4333,13.84,33,0,3.09,clear sky
Aykhal,RU,66,111.5,-5.34,96,100,5,light snow
Kirksville,US,40.1948,-92.5833,7.97,97,100,5.66,mist
Nampula,MZ,-15.1165,39.2666,29.97,51,20,3.6,few clouds
Laguna,US,38.421,-121.4238,7.3,81,0,0.89,clear sky
Camacha,PT,33.0833,-16.3333,17.68,63,20,5.14,few clouds
Varkaus,FI,62.3153,27.873,7.39,64,97,1.98,overcast clouds
Ilulissat,GL,69.2167,-51.1,-4.99,80,75,3.6,light shower snow
Chardara,KZ,41.2547,67.9692,21.25,48,0,3.95,clear sky
South Venice,US,27.0531,-82.4243,26.66,66,0,6.17,haze
Catuday,PH,16.2923,119.8062,26.57,75,60,1.9,broken clouds
Broome,US,42.2506,-75.833,19,49,40,2.57,scattered clouds
Skjervoy,NO,70.0311,20.9714,5,78,95,1.93,overcast clouds
Rondonopolis,BR,-16.4708,-54.6356,31.95,53,2,1.23,clear sky
Viedma,AR,-40.8135,-62.9967,17.44,50,1,6.83,clear sky
Aljezur,PT,37.3191,-8.8033,17.51,69,30,7.58,scattered clouds
Bosaso,SO,11.2842,49.1816,27.99,83,0,5.66,clear sky
Tank,PK,32.2217,70.3793,29.55,23,0,2.88,clear sky
Pacific Grove,US,36.6177,-121.9166,7.03,87,0,2.06,clear sky
Bara,NG,10.3744,10.7288,37.77,26,54,3.83,broken clouds
Oranjemund,NA,-28.55,16.4333,18.06,78,81,5.01,broken clouds
Springdale,US,36.1867,-94.1288,18.85,97,100,8.75,very heavy rain
Sinazongwe,ZM,-17.2614,27.4618,28.36,59,52,2.7,broken clouds
Mabaruma,GY,8.2,-59.7833,29.81,54,23,3.75,few clouds
Lae,PG,-6.7221,146.9847,23.73,89,96,2.3,overcast clouds
West Wendover,US,40.7391,-114.0733,-1.44,64,92,3.09,overcast clouds
Nabire,ID,-3.3667,135.4833,24.68,93,93,1.67,overcast clouds
Merke,KZ,42.8728,73.1786,15.89,78,53,0.48,broken clouds
Pitimbu,BR,-7.4706,-34.8086,30.33,64,100,3.36,overcast clouds
Kalmunai,LK,7.4167,81.8167,27.64,77,66,6.14,broken clouds
Alugan,PH,12.2188,125.4808,23.62,80,100,3,overcast clouds
Diamantino,BR,-14.4086,-56.4461,32.42,53,6,1.49,clear sky
Bhuban,IN,20.8833,85.8333,28.61,63,76,3.13,broken clouds
Kuusamo,FI,65.9667,29.1833,4.02,52,0,3.6,clear sky
Tyrma,RU,50.0833,132.1667,-8.51,97,39,1.1,scattered clouds
Wewak,PG,-3.5534,143.6268,26.83,71,60,2.26,broken clouds
Oussouye,SN,12.485,-16.5469,32.1,36,79,6.29,broken clouds
Carballo,ES,43.213,-8.691,17.17,82,43,2.95,scattered clouds
Port-Cartier,CA,50.0334,-66.8654,7.12,99,59,2.84,broken clouds
Ambulu,ID,-8.345,113.6058,24.37,88,22,1.84,few clouds
Kenai,US,60.5544,-151.2583,-1.62,97,0,0,clear sky
Borogontsy,RU,62.6683,131.1683,-13.5,99,99,0.58,overcast clouds
Corsicana,US,32.0954,-96.4689,23.58,88,61,5.66,broken clouds
Grand-Santi,GF,4.25,-54.3833,29.19,65,88,2.41,overcast clouds
Paamiut,GL,61.994,-49.6678,-0.4,78,99,7.89,overcast clouds
Tarata,BO,-17.6167,-66.0167,18.71,42,7,0.99,clear sky
Abu Samrah,SY,35.3029,37.1841,17.61,32,4,2.44,clear sky
Kawalu,ID,-7.3817,108.2082,22.77,96,97,0.48,overcast clouds
Fallon,US,39.4735,-118.7774,2.18,51,75,3.09,broken clouds
Babushkin,RU,51.7122,105.8647,-4.85,92,78,2.01,broken clouds
Garmsar,IR,35.2182,52.3409,29.19,5,10,7.9,clear sky
Medicine Hat,CA,50.0501,-110.6683,-7.45,85,100,4.12,overcast clouds
Nome,US,64.5011,-165.4064,1.04,64,0,4.12,clear sky
Villa Rica,US,33.7321,-84.9191,22.23,77,99,4.7,overcast clouds
San-Pedro,CI,4.7485,-6.6363,30.3,68,100,5.91,light rain
San Julian,MX,21.0167,-102.1667,20.27,36,14,3.19,few clouds
Lahaina,US,20.8783,-156.6825,23.23,83,76,3.38,broken clouds
Menongue,AO,-14.6585,17.691,24.14,64,97,2.27,light rain
Achi,CO,8.5682,-74.554,30.22,73,96,1.41,overcast clouds
Dalianwan,CN,39.0286,121.695,10.02,50,0,1,clear sky
Salawagan,PH,7.7053,125.115,22.57,97,100,0.75,overcast clouds
Torrijos,ES,39.9819,-4.2835,18.93,39,82,2.72,broken clouds
Gisors,FR,49.2818,1.7801,18.84,71,100,2.19,overcast clouds
Panaba,MX,21.2833,-88.2667,30.8,53,72,7.34,broken clouds
Jamestown,US,42.097,-79.2353,18.77,88,100,5.66,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-18,78,20,6.17,few clouds
Provideniya,RU,64.3833,-173.3,-7.41,92,100,8.57,overcast clouds
Kailua,US,21.4022,-157.7394,24.48,79,40,2.68,scattered clouds
Cidreira,BR,-30.1811,-50.2056,20.46,77,98,5.09,overcast clouds
Altamira,BR,-3.2033,-52.2064,32.05,66,75,3.6,broken clouds
Kavaratti,IN,10.5669,72.642,29.22,68,100,1.4,overcast clouds
Srivardhan,IN,18.0333,73.0167,27.89,63,81,3.33,broken clouds
Erie,US,42.7667,-78.6664,24.47,73,65,3.13,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,20.17,39,19,3.49,few clouds
Vaini,TO,-21.2,-175.2,22.09,100,20,2.06,few clouds
Munteni Buzau,RO,44.6333,26.9833,10.36,45,60,3.05,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,-21.17,100,100,1.44,overcast clouds
Albany,US,42.6001,-73.9662,22.07,53,85,3.61,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,15.06,58,40,11.83,scattered clouds
Omboue,GA,-1.5746,9.2618,25.86,87,93,2.8,overcast clouds
Barrow,US,71.2906,-156.7887,-20.99,84,0,3.09,mist
San Rafael,AR,-34.6177,-68.3301,23.74,23,0,3.15,clear sky
Pisco,PE,-13.7,-76.2167,21.68,73,6,4.12,haze
Livingstone,ZM,-17.8419,25.8543,21.22,75,83,2.06,broken clouds
Morgan City,US,29.6994,-91.2068,28.33,83,75,9.77,broken clouds
Tura,IN,25.5198,90.2201,23.69,87,82,3.86,broken clouds
Tunduma,TZ,-9.3,32.7667,15.22,94,75,1.26,broken clouds
Thompson,CA,55.7435,-97.8558,-4.91,58,75,8.23,broken clouds
Hermanus,ZA,-34.4187,19.2345,18.78,90,99,4.66,light rain
Sarangani,PH,5.4033,125.4636,27.94,80,98,7.58,overcast clouds
